1,[10.246877670288086],[0.00015488929057028145],[9.221151351928711],[0.00015647003601770848],3069.9948778152466
2,[10.22580337524414],[0.00021968990040477365],[9.238533973693848],[0.00019914368749596179],3071.6927275657654
1,[10.228723526000977],[0.00014698677114211023],[95.20977783203125],[0.00022759278363082558],3070.51025223732
2,[10.174613952636719],[0.0002023043780354783],[9.141454696655273],[0.00032716462737880647],2642.8248796463013
3,[10.177708625793457],[0.0002465584548190236],[31.447988510131836],[0.000341389182722196],2644.9255225658417
4,[10.148216247558594],[0.00024339744413737208],[68.73849487304688],[0.00014224548067431897],2644.2115094661713
5,[10.066210746765137],[0.0003113590646535158],[9.122259140014648],[0.0002560418797656894],2644.5357344150543
6,[9.874788284301758],[0.0004899558844044805],[21.08692169189453],[0.0006401046994142234],2644.6796085834503
7,[9.855711936950684],[0.0005911081098020077],[45.97824478149414],[0.0007112274179235101],2645.7983424663544
8,[9.735748291015625],[0.0010289073688909411],[54.03901290893555],[0.0014935776125639677],2644.6511261463165
9,[9.449204444885254],[0.0021953184623271227],[24.11129379272461],[0.0028449096716940403],2644.864790916443
10,[9.084137916564941],[0.004004994407296181],[516.9010009765625],[0.004779448267072439],2646.215633392334
11,[8.854107856750488],[0.006288820877671242],[21.47907829284668],[0.004011322744190693],2646.9848277568817
12,[8.719245910644531],[0.009146369993686676],[43.675601959228516],[0.00438116118311882],2647.3608911037445
13,[8.29958438873291],[0.0173950158059597],[9.160431861877441],[0.0008534729131497443],2646.6500754356384
14,[8.022470474243164],[0.02868770807981491],[324.23101806640625],[0.02534814551472664],2646.702190876007
15,[7.747786521911621],[0.04344012215733528],[6.699250221252441],[0.03958692029118538],2647.2634608745575
16,[7.449169635772705],[0.060010116547346115],[592.9826049804688],[0.06280138343572617],2648.2605884075165
17,[7.139878273010254],[0.0788370668888092],[304.7286071777344],[0.048747528344392776],2649.725371360779
18,[6.793829917907715],[0.10705694556236267],[74.43931579589844],[0.11854738742113113],2650.4609446525574
19,[6.35226583480835],[0.13776454329490662],[6.319412708282471],[0.07544700801372528],2644.5598528385162
20,[6.074769020080566],[0.1659148782491684],[472.5113220214844],[0.19864583015441895],2650.0057606697083
21,[5.686448097229004],[0.20631252229213715],[42.10858917236328],[0.18262897431850433],2655.636736869812
22,[5.522249698638916],[0.22796067595481873],[75.07018280029297],[0.2550746202468872],2654.719209432602
23,[5.148565292358398],[0.2671460807323456],[115.36660766601562],[0.3054152727127075],2655.6698875427246
24,[5.0010833740234375],[0.279331773519516],[214.03440856933594],[0.31106242537498474],2653.1565914154053
1,[8.429649353027344],[0.003845363622531295],[7.218400478363037],[0.017268601804971695],3155.2638325691223
2,[5.7576799392700195],[0.10814907401800156],[4.614919662475586],[0.21524587273597717],2646.541125059128
3,[3.649351119995117],[0.3424459993839264],[3.164100408554077],[0.40453195571899414],2646.883690595627
4,[2.584635019302368],[0.49883201718330383],[2.3381154537200928],[0.5343167185783386],2647.2810249328613
5,[2.0024476051330566],[0.594060480594635],[1.8812756538391113],[0.6093938946723938],2648.054829120636
6,[1.6429238319396973],[0.6579712629318237],[1.5880677700042725],[0.6599336862564087],2637.9335374832153
7,[1.389146089553833],[0.7046545743942261],[1.3072779178619385],[0.7126641273498535],2636.8616778850555
8,[1.2087068557739258],[0.7387586832046509],[1.2050522565841675],[0.7335172891616821],2638.0641407966614
9,[1.0806457996368408],[0.7642395496368408],[1.0873531103134155],[0.7597900629043579],2642.0404920578003
10,[0.9864004850387573],[0.7835928201675415],[1.0672177076339722],[0.7610133290290833],2643.2140407562256
11,[0.9063155651092529],[0.8002449870109558],[0.8672595024108887],[0.8040853142738342],2641.5908641815186
12,[0.8394520282745361],[0.8138404488563538],[0.9132511615753174],[0.7923358082771301],2638.3480796813965
13,[0.7895200252532959],[0.8247079849243164],[0.7592738270759583],[0.8250949382781982],2637.9881744384766
14,[0.7396186590194702],[0.8350855708122253],[0.7121347784996033],[0.8377547860145569],2637.941412448883
15,[0.7062613368034363],[0.8432552218437195],[0.7098916172981262],[0.8383380174636841],2638.0271623134613
16,[0.6755821108818054],[0.8493733406066895],[0.7984328269958496],[0.8205004334449768],2639.2757818698883
17,[0.6427338123321533],[0.8572110533714294],[0.6460095047950745],[0.8491913080215454],2637.855029821396
18,[0.6196338534355164],[0.8617992401123047],[0.6899988055229187],[0.8455924987792969],2638.8122684955597
19,[0.5985443592071533],[0.8663447499275208],[0.5603012442588806],[0.8727045059204102],2637.37588763237
20,[0.5792930722236633],[0.8701996207237244],[0.5943947434425354],[0.865720272064209],2638.0373368263245
21,[0.5569792985916138],[0.8750975728034973],[0.7383931279182434],[0.8345685005187988],2637.8531091213226
