1,[9.246556282043457],[0.00024339744413737208],[9.075644493103027],[0.00031294007203541696],4319.335051774979

2,[8.570306777954102],[0.001216987264342606],[8.564253807067871],[0.0019060894846916199],5039.676244020462

3,[7.719995021820068],[0.006543281953781843],[7.1085638999938965],[0.015775024890899658],3335.785532951355

4,[6.569228172302246],[0.035098228603601456],[6.145711898803711],[0.05962930992245674],3610.3535861968994

5,[5.606503486633301],[0.10001106560230255],[5.179629802703857],[0.13786432147026062],4022.2707948684692

6,[4.660441875457764],[0.20341546833515167],[4.281754970550537],[0.24830372631549835],4494.033556699753

7,[3.8903145790100098],[0.30516666173934937],[3.520824670791626],[0.3598383963108063],3094.2293570041656

8,[3.2606654167175293],[0.3973953425884247],[3.0556886196136475],[0.42144492268562317],2845.3178582191467

9,[2.7766647338867188],[0.47075438499450684],[2.5610427856445312],[0.5020838975906372],3151.071249485016

10,[2.408128023147583],[0.5301386117935181],[2.302140474319458],[0.5429083704948425],3433.6364171504974

11,[2.193438768386841],[0.5743610858917236],[2.117683172225952],[0.5802193284034729],3670.928570508957

12,[1.9149017333984375],[0.6195318698883057],[1.8546468019485474],[0.6245288252830505],3942.6290316581726

13,[1.7093002796173096],[0.6542760729789734],[1.6589494943618774],[0.6581129431724548],4236.054494857788

14,[1.5463016033172607],[0.6834458112716675],[1.4087048768997192],[0.7059358954429626],4353.008270978928

15,[1.4066184759140015],[0.7084351181983948],[1.3307523727416992],[0.7194207906723022],4507.64232134819

16,[1.2977442741394043],[0.7287477850914001],[1.1595184803009033],[0.7547118663787842],4573.528443574905

17,[1.1985998153686523],[0.7469014525413513],[1.162284255027771],[0.7514686584472656],4983.010242938995

18,[1.115373134613037],[0.7636768817901611],[1.0266834497451782],[0.7800315618515015],5380.07624912262

19,[1.073976755142212],[0.776197612285614],[1.0600578784942627],[0.775180995464325],5652.55851650238

20,[1.003738284111023],[0.7882394790649414],[0.8970133066177368],[0.8052517175674438],5447.633772850037

21,[0.9666943550109863],[0.7988936305046082],[0.8992587924003601],[0.8136157393455505],3605.382148742676

22,[0.906690776348114],[0.8089503645896912],[0.8474845290184021],[0.8162899613380432],3960.5080568790436

23,[0.8628070950508118],[0.8165937066078186],[0.7776599526405334],[0.8344689011573792],3627.044951915741

24,[0.8463719487190247],[0.8232934474945068],[0.767378032207489],[0.8385087251663208],3611.8063724040985

25,[0.7969001531600952],[0.8313950896263123],[0.703310489654541],[0.8503150939941406],3711.6292781829834

26,[0.7594922780990601],[0.8377993106842041],[0.6712291240692139],[0.8569721579551697],4410.255833864212

27,[0.7272407412528992],[0.843378484249115],[0.6324034333229065],[0.8619934320449829],4446.582235097885

28,[0.6993208527565002],[0.8482527732849121],[0.6244316101074219],[0.8635866045951843],4700.4634301662445

29,[0.6718316078186035],[0.8538919687271118],[0.5960261821746826],[0.8715665340423584],5087.13320350647

30,[0.6695860624313354],[0.8570387959480286],[0.5714964270591736],[0.8788353204727173],3953.6775035858154

31,[0.6404814124107361],[0.8620789647102356],[0.5711928009986877],[0.875065803527832],4478.141439437866

32,[0.6330206394195557],[0.8654865622520447],[0.5600574612617493],[0.8819220066070557],3679.4438016414642

33,[0.6089266538619995],[0.8693745732307434],[0.5027815699577332],[0.8921210169792175],4033.7626869678497

34,[0.5909741520881653],[0.8732389211654663],[0.5312510132789612],[0.8833871483802795],3803.7704508304596

35,[0.5863180160522461],[0.8759431838989258],[0.5377195477485657],[0.8851794600486755],3623.799609184265

36,[0.5662846565246582],[0.8785161972045898],[0.516805112361908],[0.8860044479370117],3552.369943380356

37,[0.5456573963165283],[0.8826302886009216],[0.48689424991607666],[0.893074095249176],3534.5378546714783

38,[0.5364605188369751],[0.8835169076919556],[0.45196792483329773],[0.9019075036048889],3525.3505940437317

39,[0.5210782885551453],[0.8862006068229675],[0.4292379915714264],[0.9064451456069946],3793.8403747081757

40,[0.5082563757896423],[0.8884986639022827],[0.4449893534183502],[0.9021777510643005],4085.1677420139313

41,[0.49436596035957336],[0.8914052248001099],[0.4386793076992035],[0.9041550159454346],4352.4662454128265

42,[0.48276427388191223],[0.8932875990867615],[0.46478113532066345],[0.895577609539032],4692.470005512238

43,[0.4737504720687866],[0.8958432674407959],[0.43251290917396545],[0.9043256640434265],5571.705109596252

44,[0.4714643061161041],[0.8978094458580017],[0.39796069264411926],[0.9139130115509033],3641.8286197185516

45,[0.46248987317085266],[0.8993266820907593],[0.4137885868549347],[0.908393919467926],3529.145704984665

46,[0.4515215754508972],[0.9012628197669983],[0.36528483033180237],[0.9200011491775513],3598.8039565086365

47,[0.4393380284309387],[0.903579831123352],[0.4111267030239105],[0.9099870324134827],3740.968185901642

48,[0.43209704756736755],[0.9045012593269348],[0.38953274488449097],[0.9123910069465637],3734.259850025177

49,[0.42593052983283997],[0.906227171421051],[0.3531709313392639],[0.9230167269706726],4090.8540346622467

50,[0.41496163606643677],[0.9079594016075134],[0.3413689136505127],[0.9251788854598999],3855.183431863785

51,[0.40859219431877136],[0.9092254042625427],[0.33777952194213867],[0.9251362085342407],4087.81458234787

52,[0.4012339413166046],[0.9108248353004456],[0.3520621359348297],[0.9223339557647705],4142.287634134293

53,[0.4032365381717682],[0.911809504032135],[0.3454100787639618],[0.9248659610748291],3622.464899301529

54,[0.39117443561553955],[0.9142845869064331],[0.3418737053871155],[0.9250508546829224],3794.848228931427

