1,[15.90141487121582],[0.6102479696273804],[14.344267845153809],[0.7281546592712402],4094.5910539627075
2,[14.376811981201172],[0.7330609560012817],[13.92662525177002],[0.7505583167076111],4066.569185733795
3,[14.091082572937012],[0.7474403977394104],[13.733746528625488],[0.757073163986206],4107.743647575378
4,[13.915942192077637],[0.7479050159454346],[13.354289054870605],[0.7765750288963318],4321.959182262421
5,[13.654911041259766],[0.766888439655304],[13.331893920898438],[0.7802591919898987],4212.078418731689
6,[13.461509704589844],[0.7754642963409424],[13.02392578125],[0.7880826592445374],4220.402688026428
7,[13.278779029846191],[0.7817072868347168],[12.832601547241211],[0.7944837212562561],4468.42181801796
8,[13.10681438446045],[0.7880182266235352],[12.607993125915527],[0.8046258091926575],4595.523472309113
9,[12.933043479919434],[0.7948412299156189],[12.497353553771973],[0.8054792881011963],4766.795495271683
10,[12.781325340270996],[0.8004662394523621],[12.363038063049316],[0.8096897602081299],5163.363549947739
11,[12.68686580657959],[0.7963173985481262],[12.241387367248535],[0.8117096424102783],3831.2068390846252
12,[12.473184585571289],[0.810236930847168],[11.917641639709473],[0.8229043483734131],3982.560163974762
13,[12.374563217163086],[0.8065511584281921],[11.765151023864746],[0.8268161416053772],5389.061421394348
14,[12.173444747924805],[0.8191477656364441],[11.636942863464355],[0.8329753279685974],5389.052847623825
15,[12.031428337097168],[0.8230690360069275],[11.571352005004883],[0.8318231701850891],4245.4316301345825
16,[11.91008472442627],[0.8264623880386353],[11.311729431152344],[0.8382099866867065],4723.691069841385
17,[11.813714027404785],[0.8231733441352844],[11.404887199401855],[0.8349810242652893],3741.0922589302063
18,[11.629321098327637],[0.8345387578010559],[11.072046279907227],[0.847171425819397],3754.517035007477
19,[11.499926567077637],[0.8381375074386597],[11.068734169006348],[0.8446821570396423],3794.07595205307
20,[11.437898635864258],[0.8340646028518677],[10.773308753967285],[0.8528327941894531],3830.3657047748566
21,[11.25664234161377],[0.8437815308570862],[10.73485279083252],[0.8531599640846252],3723.4172642230988
22,[11.138226509094238],[0.8470847606658936],[10.5491943359375],[0.8588782548904419],3670.0079305171967
23,[11.017182350158691],[0.849392294883728],[10.447103500366211],[0.8601869344711304],3621.49041390419
24,[10.897551536560059],[0.852828323841095],[10.264833450317383],[0.8635439276695251],3730.6524546146393
25,[10.79561996459961],[0.8547660112380981],[10.148832321166992],[0.8677401542663574],3787.8771266937256
26,[10.66632080078125],[0.8575761318206787],[10.317030906677246],[0.8589209318161011],3761.0267708301544
27,[10.555310249328613],[0.860340416431427],[9.952349662780762],[0.8714954257011414],4060.810469388962
28,[10.449299812316895],[0.8634793162345886],[9.851402282714844],[0.8727756142616272],4306.692265987396
29,[10.392208099365234],[0.8593873977661133],[9.736245155334473],[0.8747670650482178],4986.934347629547
30,[10.289532661437988],[0.8614610433578491],[9.620058059692383],[0.8775977492332458],5034.447160482407
31,[10.145858764648438],[0.8690047860145569],[9.622221946716309],[0.8769719004631042],4949.027931213379
32,[10.081257820129395],[0.8664980530738831],[9.402241706848145],[0.8822491765022278],3771.0989847183228
33,[9.951969146728516],[0.8736861944198608],[9.498541831970215],[0.87667316198349],3639.5363144874573
34,[9.853170394897461],[0.8759352564811707],[9.18126392364502],[0.8856915235519409],3631.7735702991486
35,[9.799771308898926],[0.872296929359436],[9.112545013427734],[0.8852363228797913],4155.908646583557
36,[9.660956382751465],[0.879279613494873],[9.537506103515625],[0.8740416169166565],4108.527057170868
37,[9.61337661743164],[0.8763825297355652],[8.95536994934082],[0.8897312879562378],3705.238515138626
38,[9.476163864135742],[0.8829289674758911],[8.915290832519531],[0.8885079622268677],3714.3971123695374
39,[9.398812294006348],[0.8840922117233276],[8.764079093933105],[0.8942689299583435],3746.84410238266
40,[9.320502281188965],[0.8849267363548279],[8.618122100830078],[0.8951366543769836],3765.2518241405487
41,[9.224199295043945],[0.8878554105758667],[8.828121185302734],[0.8892760872840881],3718.059605360031
42,[9.140848159790039],[0.8889807462692261],[8.488446235656738],[0.8978534936904907],4084.950583934784
43,[9.062699317932129],[0.8904948830604553],[8.285444259643555],[0.903059720993042],4249.710015535355
44,[8.98516845703125],[0.8915664553642273],[8.325172424316406],[0.9020497798919678],4433.688859701157
45,[8.934218406677246],[0.8893901109695435],[8.355708122253418],[0.8983940482139587],3724.3129551410675
46,[8.824384689331055],[0.8943528532981873],[8.14350414276123],[0.902945876121521],3695.248949766159
47,[8.755011558532715],[0.8953074812889099],[8.097622871398926],[0.90431147813797],3704.0010566711426
48,[8.667412757873535],[0.8969780802726746],[8.074955940246582],[0.9018648266792297],3718.179487466812
49,[8.655339241027832],[0.8937506675720215],[8.0281343460083],[0.9050084352493286],3667.350113391876
50,[8.527505874633789],[0.8994689583778381],[7.8980231285095215],[0.9078960418701172],3808.839181661606
51,[8.510213851928711],[0.8963521718978882],[7.822302341461182],[0.907241702079773],3988.511215209961
52,[8.448500633239746],[0.8967410326004028],[7.703179836273193],[0.908393919467926],3633.8279893398285
53,[8.317292213439941],[0.9029239416122437],[7.64900016784668],[0.9107836484909058],3781.1252477169037
54,[8.263372421264648],[0.9028417468070984],[7.626717567443848],[0.911509096622467],3725.051773071289
55,[8.208257675170898],[0.9040365815162659],[7.620283603668213],[0.9107409715652466],4135.051479816437
56,[8.137382507324219],[0.9051271677017212],[7.600188732147217],[0.9096314311027527],3986.8174645900726
57,[8.116671562194824],[0.9022743701934814],[7.471095561981201],[0.9141406416893005],3954.2356009483337
58,[8.007597923278809],[0.9072924256324768],[7.370914459228516],[0.913187563419342],3895.3387310504913
59,[7.953799724578857],[0.9077555537223816],[7.4010539054870605],[0.9127892851829529],4617.236802577972
60,[7.873905181884766],[0.909631609916687],[7.245031356811523],[0.9170424342155457],6093.718684196472
61,[7.864384174346924],[0.9070379734039307],[7.216704845428467],[0.9160751700401306],2694.1559977531433
62,[7.765326023101807],[0.9110413789749146],[7.178134918212891],[0.9143966436386108],3034.4651384353638
63,[7.749705791473389],[0.9078882932662964],[7.063824653625488],[0.9180666208267212],2627.092306137085
64,[7.652294158935547],[0.9125902652740479],[6.9873881340026855],[0.9192187786102295],2692.199297428131
65,[7.598358631134033],[0.9134880304336548],[6.9549055099487305],[0.918023943901062],2626.7154886722565
66,[7.530473709106445],[0.9148156046867371],[7.141820907592773],[0.9158333539962769],2739.343271970749
67,[7.478074550628662],[0.9156027436256409],[6.850832462310791],[0.9198446869850159],2920.5913650989532
68,[7.4326887130737305],[0.9158666729927063],[6.845900535583496],[0.9197166562080383],2992.8126196861267
69,[7.3729023933410645],[0.9166569113731384],[6.7134690284729],[0.9220637083053589],3123.686066389084
70,[7.332851409912109],[0.9169588088989258],[6.744033336639404],[0.9226468801498413],3079.512327194214
71,[7.278731822967529],[0.9178122878074646],[6.66826057434082],[0.9258189797401428],3249.585701227188
72,[7.22879695892334],[0.9185155630111694],[6.563612937927246],[0.9252499938011169],3431.9972808361053
73,[7.214137554168701],[0.9166853427886963],[6.5338640213012695],[0.924254298210144],4504.536502361298
74,[7.162726879119873],[0.9167565107345581],[6.394190311431885],[0.9267719984054565],3927.6507840156555
75,[7.0628342628479],[0.9215596318244934],[6.452763080596924],[0.9259754419326782],4847.934496641159
76,[7.066795349121094],[0.9184839725494385],[6.622009754180908],[0.9233154654502869],3782.2177855968475
77,[6.9780659675598145],[0.9224953055381775],[6.332704544067383],[0.9293466806411743],4000.0387902259827
78,[6.940571308135986],[0.9226628541946411],[6.218043327331543],[0.9309256076812744],4015.8638072013855
79,[6.879486560821533],[0.9238766431808472],[6.277155876159668],[0.928365170955658],4061.893786430359
80,[6.835573196411133],[0.9241374135017395],[6.281346321105957],[0.927725076675415],4066.4422311782837
81,[6.795928478240967],[0.924910306930542],[6.148817539215088],[0.929688036441803],4105.156901359558
82,[6.7499494552612305],[0.9252469539642334],[6.2166643142700195],[0.9300721287727356],4128.699553012848
83,[6.700038909912109],[0.9260134696960449],[6.119232177734375],[0.9303139448165894],4347.562971353531
84,[6.718476295471191],[0.9230089783668518],[6.003866195678711],[0.9333580136299133],3893.786032676697
85,[6.624273300170898],[0.9264276027679443],[5.934055805206299],[0.9341118931770325],4669.3028066158295
86,[6.57445764541626],[0.9276192784309387],[5.7928900718688965],[0.9363735914230347],4791.658655881882
87,[6.5697808265686035],[0.9255346059799194],[5.814284324645996],[0.9343963861465454],3699.852215528488
88,[6.489601135253906],[0.9287635684013367],[5.824113368988037],[0.9343252778053284],3729.225353240967
89,[6.459991931915283],[0.9291239380836487],[5.808849811553955],[0.9344533085823059],4015.055955886841
90,[6.416594505310059],[0.9299094080924988],[5.798138618469238],[0.9345386028289795],4058.4075021743774
91,[6.379427433013916],[0.9306017160415649],[5.774143695831299],[0.9333721995353699],4212.8925087451935
92,[6.352330684661865],[0.9301465153694153],[5.685611248016357],[0.9372697472572327],4397.494910478592
93,[6.309402942657471],[0.9306648969650269],[5.756299018859863],[0.9327463507652283],4587.18326997757
94,[6.3047966957092285],[0.9291239380836487],[5.704763412475586],[0.9340122938156128],5772.599256038666
95,[6.2403483390808105],[0.9316226840019226],[5.590925693511963],[0.9370563626289368],6010.108199596405
96,[6.232823848724365],[0.9297735095024109],[5.596701622009277],[0.937099039554596],3964.1178784370422
97,[6.152426242828369],[0.9333043694496155],[5.562799453735352],[0.9380805492401123],4089.357569694519
98,[6.128668785095215],[0.9332095384597778],[5.414452075958252],[0.9404987096786499],4096.2524745464325
99,[6.088442802429199],[0.9338369965553284],[5.560052394866943],[0.9357477426528931],4114.707512617111
100,[6.047765731811523],[0.9346541166305542],[5.425362586975098],[0.939389169216156],4123.53612947464
101,[6.009749889373779],[0.9347426295280457],[5.499819755554199],[0.938137412071228],4168.658312797546
